City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,guntersville,34.3582,-86.2947,10.390000000000043,59,100,4.12,US,1707059874
348,greenville,35.6127,-77.3663,7.850000000000023,73,0,1.54,US,1707059628
349,east london,-33.0153,27.9116,25.52000000000004,78,0,8.75,ZA,1707059876
350,gamba,-2.65,10.0,27.910000000000025,78,100,3.42,GA,1707059878
351,san carlos,9.6612,-68.5827,32.35000000000002,48,86,1.75,VE,1707059879
352,mejit,10.2753,170.8646,26.220000000000027,77,100,7.8,MH,1707059880
353,mount pearl,47.5166,-52.7813,1.2900000000000205,96,100,7.2,CA,1707059881
354,tsiombe,-25.3,45.4833,25.879999999999995,76,93,3.26,MG,1707059882
355,vyksa,55.3175,42.1744,0.4300000000000068,87,100,7.4,RU,1707059883
356,salekhard,66.53,66.6019,-19.25999999999999,99,100,1.45,RU,1707059883
357,praia da vitoria,38.7333,-27.0667,19.140000000000043,77,40,7.27,PT,1707059884
358,mermoz boabab,14.7065,-17.4758,35.31,30,91,3.09,SN,1707059885
359,bonthe,7.5264,-12.505,31.32000000000005,54,100,6.03,SL,1707059886
360,daru,-9.0763,143.2092,26.710000000000036,90,86,3.18,PG,1707059886
361,penzance,50.1186,-5.5371,11.379999999999995,89,85,9.39,GB,1707059887
362,bengkulu,-3.8004,102.2655,25.470000000000027,87,99,0.76,ID,1707059888
363,singoli,24.9667,75.3,18.55000000000001,70,92,1.62,IN,1707059889
364,batangafo,7.3008,18.2833,37.870000000000005,9,4,2.47,CF,1707059890
365,port macquarie,-31.4333,152.9167,23.83000000000004,85,100,7.77,AU,1707059891
366,kyshtovka,56.555,76.6271,-2.0299999999999727,87,100,8.05,RU,1707059893
367,banda aceh,5.5577,95.3222,26.08000000000004,83,95,5.27,ID,1707059893
368,castillos,-34.1667,-53.8333,24.5,53,53,5.62,UY,1707059894
369,bambari,5.768,20.6757,37.450000000000045,11,14,2.03,CF,1707059896
370,dunedin,-45.8742,170.5036,13.78000000000003,74,75,0.45,NZ,1707059897
371,san lawrenz,36.0553,14.204,15.670000000000016,78,0,10.43,MT,1707059898
372,luwuk,-0.9516,122.7875,26.410000000000025,80,79,1.95,ID,1707059899
373,labuan,5.2767,115.2417,26.200000000000045,94,40,0.0,MY,1707059900
374,vel'sk,61.0701,42.0983,-8.17999999999995,93,100,4.02,RU,1707059901
375,cooper's town,26.8667,-77.5167,21.900000000000034,65,66,8.1,BS,1707059903
376,constantia,44.1833,28.65,9.379999999999995,73,68,4.88,RO,1707059770
377,abbeville,50.1,1.8333,11.25,86,96,8.57,FR,1707059905
378,moralillo,22.2167,-97.9,22.129999999999995,83,0,0.0,MX,1707059905
379,sao jose da coroa grande,-8.8978,-35.1478,30.53000000000003,59,4,4.58,BR,1707059629
380,guichon,-32.35,-57.2,31.700000000000045,36,71,4.5,UY,1707059907
381,fukuecho,32.6881,128.8419,12.78000000000003,94,100,6.48,JP,1707059908
382,grand gaube,-20.0064,57.6608,26.220000000000027,73,27,7.79,MU,1707059910
383,qamdo,31.1667,97.2333,-4.4599999999999795,41,100,1.88,CN,1707059910
